"filename", "language", "Asset Properties Definition", "GDScript", "Markdown", "GDScene", "XML", "comment", "blank", "total"
"d:\IdeaProjects\-qsz\monster\slime.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\monster\slime_blue.gd", "GDScript", 0, 153, 0, 0, 0, 15, 33, 201
"d:\IdeaProjects\-qsz\monster\slime_blue.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\monster\small_fire_bullet.gd", "GDScript", 0, 33, 0, 0, 0, 10, 13, 56
"d:\IdeaProjects\-qsz\monster\small_fire_bullet.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\sceneChange.gd", "GDScript", 0, 26, 0, 0, 0, 0, 7, 33
"d:\IdeaProjects\-qsz\sceneChange.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\scenes\fire_instance.tscn", "GDScene", 0, 0, 0, 4, 0, 0, 2, 6
"d:\IdeaProjects\-qsz\skill\active_skill_icon.gd", "GDScript", 0, 139, 0, 0, 0, 25, 32, 196
"d:\IdeaProjects\-qsz\skill\active_skill_icon.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\skill\big_fire_bullet.gd", "GDScript", 0, 4, 0, 0, 0, 0, 2, 6
"d:\IdeaProjects\-qsz\skill\big_fire_bullet.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\skill\blood_broadsword.gd", "GDScript", 0, 211, 0, 0, 0, 0, 51, 262
"d:\IdeaProjects\-qsz\skill\blood_broadsword.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\skill\blood_wave.gd", "GDScript", 0, 74, 0, 0, 0, 0, 13, 87
"d:\IdeaProjects\-qsz\skill\blood_wave.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\skill\frog_attack.gd", "GDScript", 0, 26, 0, 0, 0, 9, 8, 43
"d:\IdeaProjects\-qsz\skill\frog_attack.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\skill\ice_flower.gd", "GDScript", 0, 82, 0, 0, 0, 7, 21, 110
"d:\IdeaProjects\-qsz\skill\ice_flower.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\skill\skill_cooldown_overlay.gd", "GDScript", 0, 65, 0, 0, 0, 4, 12, 81
"d:\IdeaProjects\-qsz\skill\skill_cooldown_overlay.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\skill\sword_wave.gd", "GDScript", 0, 67, 0, 0, 0, 28, 21, 116
"d:\IdeaProjects\-qsz\skill\sword_wave.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\skill\thunder.gd", "GDScript", 0, 87, 0, 0, 0, 0, 16, 103
"d:\IdeaProjects\-qsz\skill\thunder.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\action_tips.gd", "GDScript", 0, 28, 0, 0, 0, 0, 14, 42
"d:\IdeaProjects\-qsz\system\action_tips.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\audio_manager.gd", "GDScript", 0, 145, 0, 0, 0, 23, 40, 208
"d:\IdeaProjects\-qsz\system\audio_manager.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\audio_settings_ui.gd", "GDScript", 0, 199, 0, 0, 0, 37, 51, 287
"d:\IdeaProjects\-qsz\system\audio_settings_ui.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\bag_layer.gd", "GDScript", 0, 535, 0, 0, 0, 125, 135, 795
"d:\IdeaProjects\-qsz\system\bag_layer.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\battle_canvas_layer.gd", "GDScript", 0, 597, 0, 0, 0, 80, 132, 809
"d:\IdeaProjects\-qsz\system\battle_canvas_layer.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\bgm.gd", "GDScript", 0, 71, 0, 0, 0, 2, 8, 81
"d:\IdeaProjects\-qsz\system\bgm.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\boss_hp_bar.gd", "GDScript", 0, 225, 0, 0, 0, 81, 63, 369
"d:\IdeaProjects\-qsz\system\boss_hp_bar.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\damage_display.gd", "GDScript", 0, 57, 0, 0, 0, 23, 16, 96
"d:\IdeaProjects\-qsz\system\damage_display.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\drop_normal.gd", "GDScript", 0, 23, 0, 0, 0, 2, 5, 30
"d:\IdeaProjects\-qsz\system\drop_normal.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\system\hit.gd", "GDScript", 0, 13, 0, 0, 0, 1, 6, 20
